============================================================================================================
Arguments =
	approach: lwf
	batch_size: 100
	clipping: 10000
	datasets: ['mnist']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 2
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 2
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 5
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../mnist_lwf_result5t
	save_models: False
	seed: 123
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	T: 2
	lamb: 1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 0
============================================================================================================
WARNING: ../mnist_lwf_result5t/mnist_lwf already exists!
[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
Start task : 0
Exemplar dataset : 0
| Epoch   1, time=  4.6s | Train: skip eval | Valid: time=  0.8s loss=0.007, TAw acc= 99.8% | *
| Epoch   2, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% | *
| Epoch   3, time=  2.2s | Train: skip eval | Valid: time=  0.8s loss=0.003, TAw acc= 99.9% |
| Epoch   4, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.8% |
| Epoch   5, time=  2.3s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.9% |
| Epoch   6, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.004, TAw acc= 99.8% |
| Epoch   7, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% | lr=5.0e-02
| Epoch   8, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% | *
| Epoch   9, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.9% |
| Epoch  10, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc=100.0% | *
| Epoch  11, time=  2.2s | Train: skip eval | Valid: time=  1.1s loss=0.002, TAw acc= 99.9% |
| Epoch  12, time=  2.2s | Train: skip eval | Valid: time=  1.5s loss=0.001, TAw acc= 99.9% |
| Epoch  13, time=  2.2s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.8% |
| Epoch  14, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% |
| Epoch  15, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.9% | lr=5.0e-02
| Epoch  16, time=  2.2s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc= 99.9% |
| Epoch  17, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  18, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  19, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.9% |
| Epoch  20, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% | lr=5.0e-02
| Epoch  21, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc=100.0% | *
| Epoch  22, time=  2.2s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc=100.0% |
| Epoch  23, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.000, TAw acc=100.0% | *
| Epoch  24, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.000, TAw acc=100.0% |
| Epoch  25, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.000, TAw acc=100.0% |
| Epoch  26, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc=100.0% |
| Epoch  27, time=  2.3s | Train: skip eval | Valid: time=  0.8s loss=0.001, TAw acc=100.0% |
| Epoch  28, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc=100.0% | lr=5.0e-02
| Epoch  29, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.018, TAw acc= 99.7% |
| Epoch  30, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% |
| Epoch  31, time=  2.4s | Train: skip eval | Valid: time=  1.3s loss=0.003, TAw acc= 99.8% |
| Epoch  32, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.8% |
| Epoch  33, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.9% | lr=5.0e-02
| Epoch  34, time=  2.5s | Train: skip eval | Valid: time=  0.5s loss=0.000, TAw acc=100.0% |
| Epoch  35, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.000, TAw acc=100.0% |
| Epoch  36, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.000, TAw acc=100.0% |
| Epoch  37, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.000, TAw acc=100.0% |
| Epoch  38, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc=100.0% | lr=5.0e-02
| Epoch  39, time=  3.7s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc= 99.9% |
| Epoch  40, time=  2.6s | Train: skip eval | Valid: time=  0.8s loss=0.001, TAw acc=100.0% |
| Epoch  41, time=  2.6s | Train: skip eval | Valid: time=  0.8s loss=0.001, TAw acc= 99.9% |
| Epoch  42, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% |
| Epoch  43, time=  2.4s | Train: skip eval | Valid: time=  0.5s loss=0.001, TAw acc= 99.9% | lr=5.0e-02
| Epoch  44, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.000, TAw acc=100.0% |
| Epoch  45, time=  2.3s | Train: skip eval | Valid: time=  0.9s loss=0.000, TAw acc=100.0% | *
| Epoch  46, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.000, TAw acc=100.0% |
| Epoch  47, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.000, TAw acc=100.0% |
| Epoch  48, time=  2.3s | Train: skip eval | Valid: time=  0.8s loss=0.000, TAw acc=100.0% |
| Epoch  49, time=  2.3s | Train: skip eval | Valid: time=  0.8s loss=0.003, TAw acc= 99.9% |
| Epoch  50, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.9% | lr=5.0e-02
| Epoch  51, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.000, TAw acc=100.0% |
| Epoch  52, time=  2.5s | Train: skip eval | Valid: time=  1.5s loss=0.000, TAw acc=100.0% |
| Epoch  53, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc= 99.9% |
| Epoch  54, time=  2.4s | Train: skip eval | Valid: time=  0.9s loss=0.001, TAw acc= 99.9% |
| Epoch  55, time=  2.3s | Train: skip eval | Valid: time=  0.8s loss=0.001, TAw acc= 99.9% | lr=5.0e-02
| Epoch  56, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=0.000, TAw acc=100.0% |
| Epoch  57, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% |
| Epoch  58, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.8% |
| Epoch  59, time=  2.8s | Train: skip eval | Valid: time=  0.8s loss=0.004, TAw acc= 99.8% |
| Epoch  60, time=  2.3s | Train: skip eval | Valid: time=  1.0s loss=0.001, TAw acc= 99.9% | lr=5.0e-02
| Epoch  61, time=  2.3s | Train: skip eval | Valid: time=  0.8s loss=0.000, TAw acc=100.0% |
| Epoch  62, time=  2.4s | Train: skip eval | Valid: time=  1.5s loss=0.001, TAw acc=100.0% |
| Epoch  63, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc= 99.9% |
| Epoch  64, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  65, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc=100.0% | lr=5.0e-02
| Epoch  66, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% |
| Epoch  67, time=  2.5s | Train: skip eval | Valid: time=  0.8s loss=0.002, TAw acc= 99.9% |
| Epoch  68, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.006, TAw acc= 99.7% |
| Epoch  69, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc=100.0% |
| Epoch  70, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=0.000, TAw acc=100.0% | lr=5.0e-02
| Epoch  71, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.000, TAw acc=100.0% | *
| Epoch  72, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.000, TAw acc=100.0% |
| Epoch  73, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc= 99.9% |
| Epoch  74, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc= 99.9% |
| Epoch  75, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.000, TAw acc=100.0% |
| Epoch  76, time=  2.5s | Train: skip eval | Valid: time=  1.6s loss=0.000, TAw acc=100.0% | lr=5.0e-02
| Epoch  77, time=  2.3s | Train: skip eval | Valid: time=  0.8s loss=0.000, TAw acc=100.0% |
| Epoch  78, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.000, TAw acc=100.0% |
| Epoch  79, time=  2.3s | Train: skip eval | Valid: time=  0.9s loss=0.000, TAw acc=100.0% |
| Epoch  80, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.000, TAw acc=100.0% |
| Epoch  81, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.000, TAw acc=100.0% | lr=5.0e-02
| Epoch  82, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.000, TAw acc=100.0% |
| Epoch  83, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=0.000, TAw acc=100.0% |
| Epoch  84, time=  3.1s | Train: skip eval | Valid: time=  0.7s loss=0.000, TAw acc=100.0% |
| Epoch  85, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=0.000, TAw acc=100.0% |
| Epoch  86, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc=100.0% | lr=5.0e-02
| Epoch  87, time=  2.3s | Train: skip eval | Valid: time=  0.8s loss=0.000, TAw acc=100.0% |
| Epoch  88, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=0.000, TAw acc=100.0% |
| Epoch  89, time=  2.5s | Train: skip eval | Valid: time=  0.7s loss=0.002, TAw acc= 99.8% |
| Epoch  90, time=  2.3s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% |
| Epoch  91, time=  2.9s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% | lr=5.0e-02
| Epoch  92, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc=100.0% |
| Epoch  93, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% |
| Epoch  94, time=  2.4s | Train: skip eval | Valid: time=  0.8s loss=0.010, TAw acc= 99.8% |
| Epoch  95, time=  2.3s | Train: skip eval | Valid: time=  0.7s loss=0.005, TAw acc= 99.9% |
| Epoch  96, time=  2.4s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% | lr=5.0e-02
| Epoch  97, time=  2.2s | Train: skip eval | Valid: time=  0.7s loss=0.001, TAw acc= 99.9% |
| Epoch  98, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.000, TAw acc=100.0% |
| Epoch  99, time=  2.5s | Train: skip eval | Valid: time=  0.6s loss=0.001, TAw acc= 99.9% |
| Epoch 100, time=  2.4s | Train: skip eval | Valid: time=  0.7s loss=0.003, TAw acc= 99.8% |
End task : 0
Exemplar dataset : 0
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.000 | TAw acc=100.0%, forg=  0.0%| TAg acc=100.0%, forg=  0.0% <<<
Save at ../mnist_lwf_result5t/mnist_lwf
************************************************************************************************************
Task  1
************************************************************************************************************
Start task : 1
Exemplar dataset : 0
| Epoch   1, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch   2, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch   3, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch   4, time=  3.0s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 53.6% |
| Epoch   5, time=  3.0s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch   6, time=  2.9s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 53.6% |
| Epoch   7, time=  3.0s | Train: skip eval | Valid: time=  1.0s loss=nan, TAw acc= 53.6% |
| Epoch   8, time=  2.9s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 53.6% |
| Epoch   9, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 53.6% |
| Epoch  10, time=  2.8s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  11, time=  3.1s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 53.6% |
| Epoch  12, time=  2.9s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 53.6% |
| Epoch  13, time=  2.8s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 53.6% |
| Epoch  14, time=  3.1s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 53.6% |
| Epoch  15, time=  2.9s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  16, time=  2.9s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 53.6% |
| Epoch  17, time=  3.2s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 53.6% |
| Epoch  18, time=  2.9s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  19, time=  2.9s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 53.6% |
| Epoch  20, time=  3.1s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  21, time=  3.0s | Train: skip eval | Valid: time=  0.7s loss=nan, TAw acc= 53.6% |
| Epoch  22, time=  2.9s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 53.6% |
| Epoch  23, time=  3.0s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  24, time=  2.9s | Train: skip eval | Valid: time=  0.8s loss=nan, TAw acc= 53.6% |
| Epoch  25, time=  3.0s | Train: skip eval | Valid: time=  0.9s loss=nan, TAw acc= 53.6% | lr=5.0e-02
| Epoch  26, time=  3.1s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  27, time=  2.9s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
| Epoch  28, time=  3.1s | Train: skip eval | Valid: time=  1.3s loss=nan, TAw acc= 53.6% |
| Epoch  29, time=  2.9s | Train: skip eval | Valid: time=  0.6s loss=nan, TAw acc= 53.6% |
